Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,25410000000.0,4430000000.0,,,,
2025,25200000000.0,4330000000.0,32.7,200000000.0,45830000000.0,
2024,22060000000.0,4050000000.0,29.3,410000000.0,44560000000.0,
2023,20420000000.0,3520000000.0,30.8,450000000.0,32820000000.0,
2022,19690000000.0,3290000000.0,27.8,350000000.0,31360000000.0,
2021,17930000000.0,2710000000.0,36.6,110000000.0,29090000000.0,
2020,15210000000.0,2310000000.0,31.0,550000000.0,29340000000.0,
2019,15450000000.0,2510000000.0,26.4,3560000000.0,27740000000.0,
2018,14910000000.0,2750000000.0,17.8,61000000.0,22650000000.0,
2017,14480000000.0,2550000000.0,17.0,22000000.0,21820000000.0,
2016,13600000000.0,2190000000.0,22.8,32000000.0,20850000000.0,
2015,12960000000.0,1440000000.0,26.6,39000000.0,20360000000.0,
2014,13990000000.0,2210000000.0,14.8,1300000000.0,21290000000.0,
2013,13980000000.0,970000000.0,,230000000.0,22600000000.0,
2012,13640000000.0,1790000000.0,,190000000.0,23090000000.0,
2011,13370000000.0,2000000000.0,,250000000.0,22560000000.0,
2010,12510000000.0,2100000000.0,,530000000.0,21470000000.0,
2009,11790000000.0,1890000000.0,,1140000000.0,21150000000.0,
2008,13380000000.0,2210000000.0,,480000000.0,20220000000.0,
2007,13310000000.0,2200000000.0,,340000000.0,20170000000.0,
2006,13360000000.0,2089999999.9999998,,610000000.0,20600000000.0,
2005,13070000000.0,1730000000.0,,660000000.0,21130000000.0,
2004,12510000000.0,1690000000.0,,420000000.0,20900000000.0,
2003,11630000000.0,1580000000.0,,210000000.0,20380000000.0,
2002,11140000000.0,1680000000.0,,260000000.0,19850000000.0,
2001,11320000000.0,1280000000.0,,730000000.0,19490000000.0,
2000,12490000000.0,1780000000.0,,94000000.0,,
1999,13120000000.0,1330000000.0,,180000000.0,,
1998,12920000000.0,2540000000.0,,87000000.0,,
1997,4960000000.0,910000000.0,,180000000.0,,
1996,1400000000.0,320000000.0,,26100000.0,,
