year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,9035000000.0,Revenues,0001524472-26-000012,USD,True,957000000.0,NetIncomeLoss,0001524472-26-000012,USD,True,1241000000.0,NetCashProvidedByUsedInOperatingActivities,0001524472-26-000012,USD,True,331000000.0,PaymentsToAcquireProductiveAssets,0001524472-26-000012,USD,True,1223000000.0,OperatingIncomeLoss,0001524472-26-000012,USD,True,,,,,False,231000000.0,IncomeTaxExpenseBenefit,0001524472-26-000012,USD,True,0.195,EffectiveIncomeTaxRateContinuingOperations,0001524472-26-000012,pure,True,1181000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001524472-26-000012,USD,True,1479000000.0,CashAndCashEquivalentsAtCarryingValue,0001524472-26-000012,USD,True,,,,,False,1954000000.0,LongTermDebt,0001524472-26-000012,USD,True,34000000.0,DebtCurrent,0001524472-26-000012,USD,True,91000000.0,FinanceLeaseLiabilityNoncurrent,0001524472-26-000012,USD,True,11480000000.0,StockholdersEquity,0001524472-26-000012,USD,True,1479000000.0,1954000000.0,910000000.0,0.1955969517358171,11955000000.0,983784928.0270957,0.08229066733810922,1223000000.0,False,0.10071942446043165,0.9508881922675027,True,True,XYL,0001524472,ticker:XYL,15
2024,8562000000.0,Revenues,0001524472-25-000013,USD,True,890000000.0,NetIncomeLoss,0001524472-25-000013,USD,True,1263000000.0,NetCashProvidedByUsedInOperatingActivities,0001524472-25-000013,USD,True,321000000.0,PaymentsToAcquireProductiveAssets,0001524472-25-000013,USD,True,1009000000.0,OperatingIncomeLoss,0001524472-25-000013,USD,True,,,,,False,197000000.0,IncomeTaxExpenseBenefit,0001524472-25-000013,USD,True,0.181,EffectiveIncomeTaxRateContinuingOperations,0001524472-25-000013,pure,True,1087000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001524472-25-000013,USD,True,1121000000.0,CashAndCashEquivalentsAtCarryingValue,0001524472-25-000013,USD,True,,,,,False,2031000000.0,LongTermDebt,0001524472-25-000013,USD,True,27000000.0,DebtCurrent,0001524472-25-000013,USD,True,76000000.0,FinanceLeaseLiabilityNoncurrent,0001524472-25-000013,USD,True,10642000000.0,StockholdersEquity,0001524472-25-000013,USD,True,1121000000.0,2031000000.0,942000000.0,0.1812327506899724,11552000000.0,826136154.5538177,0.0715145563152543,1009000000.0,False,0.11002102312543798,1.0584269662921348,True,True,XYL,0001524472,ticker:XYL,15
2023,7364000000.0,Revenues,0001524472-24-000006,USD,True,609000000.0,NetIncomeLoss,0001524472-24-000006,USD,True,837000000.0,NetCashProvidedByUsedInOperatingActivities,0001524472-24-000006,USD,True,271000000.0,PaymentsToAcquireProductiveAssets,0001524472-24-000006,USD,True,652000000.0,OperatingIncomeLoss,0001524472-24-000006,USD,True,49000000.0,InterestExpense,0001524472-24-000006,USD,True,26000000.0,IncomeTaxExpenseBenefit,0001524472-24-000006,USD,True,0.041,EffectiveIncomeTaxRateContinuingOperations,0001524472-24-000006,pure,True,635000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001524472-24-000006,USD,True,1019000000.0,CashAndCashEquivalentsAtCarryingValue,0001524472-24-000006,USD,True,,,,,False,,,,,False,22000000.0,DebtCurrent,0001524472-24-000006,USD,True,64000000.0,FinanceLeaseLiabilityNoncurrent,0001524472-24-000006,USD,True,10166000000.0,StockholdersEquity,0001524472-24-000006,USD,True,1019000000.0,86000000.0,566000000.0,0.04094488188976378,9233000000.0,625303937.007874,0.06772489299337962,652000000.0,False,0.07686040195545898,0.9293924466338259,True,True,XYL,0001524472,ticker:XYL,15
2022,5522000000.0,Revenues,0001524472-23-000009,USD,True,355000000.0,NetIncomeLoss,0001524472-23-000009,USD,True,596000000.0,NetCashProvidedByUsedInOperatingActivities,0001524472-23-000009,USD,True,208000000.0,PaymentsToAcquireProductiveAssets,0001524472-23-000009,USD,True,622000000.0,OperatingIncomeLoss,0001524472-23-000009,USD,True,50000000.0,InterestExpense,0001524472-23-000009,USD,True,85000000.0,IncomeTaxExpenseBenefit,0001524472-23-000009,USD,True,0.192,EffectiveIncomeTaxRateContinuingOperations,0001524472-23-000009,pure,True,440000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001524472-23-000009,USD,True,944000000.0,CashAndCashEquivalentsAtCarryingValue,0001524472-23-000009,USD,True,,,,,False,,,,,False,,,,,False,1880000000.0,FinanceLeaseLiabilityNoncurrent,0001524472-23-000009,USD,True,3494000000.0,StockholdersEquity,0001524472-23-000009,USD,True,944000000.0,1880000000.0,388000000.0,0.19318181818181818,4430000000.0,501840909.0909091,0.11328237225528423,622000000.0,False,0.07026439695762404,1.0929577464788733,True,True,XYL,0001524472,ticker:XYL,15
2021,5195000000.0,Revenues,0001524472-22-000009,USD,True,427000000.0,NetIncomeLoss,0001524472-22-000009,USD,True,538000000.0,NetCashProvidedByUsedInOperatingActivities,0001524472-22-000009,USD,True,208000000.0,PaymentsToAcquireProductiveAssets,0001524472-22-000009,USD,True,585000000.0,OperatingIncomeLoss,0001524472-22-000009,USD,True,76000000.0,InterestExpense,0001524472-22-000009,USD,True,84000000.0,IncomeTaxExpenseBenefit,0001524472-22-000009,USD,True,0.163,EffectiveIncomeTaxRateContinuingOperations,0001524472-22-000009,pure,True,511000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001524472-22-000009,USD,True,1349000000.0,CashAndCashEquivalentsAtCarryingValue,0001524472-22-000009,USD,True,,,,,False,,,,,False,,,,,False,2440000000.0,FinanceLeaseLiabilityNoncurrent,0001524472-22-000009,USD,True,3218000000.0,StockholdersEquity,0001524472-22-000009,USD,True,1349000000.0,2440000000.0,330000000.0,0.1643835616438356,4309000000.0,488835616.43835616,0.11344525793417409,585000000.0,False,0.06352261790182868,0.7728337236533958,True,True,XYL,0001524472,ticker:XYL,15
2020,4876000000.0,Revenues,0001524472-21-000008,USD,True,254000000.0,NetIncomeLoss,0001524472-21-000008,USD,True,824000000.0,NetCashProvidedByUsedInOperatingActivities,0001524472-21-000008,USD,True,183000000.0,PaymentsToAcquireProductiveAssets,0001524472-21-000008,USD,True,367000000.0,OperatingIncomeLoss,0001524472-21-000008,USD,True,77000000.0,InterestExpense,0001524472-21-000008,USD,True,31000000.0,IncomeTaxExpenseBenefit,0001524472-21-000008,USD,True,0.109,EffectiveIncomeTaxRateContinuingOperations,0001524472-21-000008,pure,True,285000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001524472-21-000008,USD,True,1875000000.0,CashAndCashEquivalentsAtCarryingValue,0001524472-21-000008,USD,True,,,,,False,,,,,False,,,,,False,2484000000.0,FinanceLeaseLiabilityNoncurrent,0001524472-21-000008,USD,True,2968000000.0,StockholdersEquity,0001524472-21-000008,USD,True,1875000000.0,2484000000.0,641000000.0,0.10877192982456141,3577000000.0,327080701.75438595,0.09143995016896449,367000000.0,False,0.13146021328958163,2.5236220472440944,True,True,XYL,0001524472,ticker:XYL,15
2019,5249000000.0,Revenues,0001524472-20-000006,USD,True,401000000.0,NetIncomeLoss,0001524472-20-000006,USD,True,839000000.0,NetCashProvidedByUsedInOperatingActivities,0001524472-20-000006,USD,True,226000000.0,PaymentsToAcquireProductiveAssets,0001524472-20-000006,USD,True,486000000.0,OperatingIncomeLoss,0001524472-20-000006,USD,True,67000000.0,InterestExpense,0001524472-20-000006,USD,True,15000000.0,IncomeTaxExpenseBenefit,0001524472-20-000006,USD,True,0.037,EffectiveIncomeTaxRateContinuingOperations,0001524472-20-000006,pure,True,416000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001524472-20-000006,USD,True,724000000.0,CashAndCashEquivalentsAtCarryingValue,0001524472-20-000006,USD,True,,,,,False,,,,,False,,,,,False,2040000000.0,FinanceLeaseLiabilityNoncurrent,0001524472-20-000006,USD,True,2957000000.0,StockholdersEquity,0001524472-20-000006,USD,True,724000000.0,2040000000.0,613000000.0,0.036057692307692304,4273000000.0,468475961.53846157,0.10963631208482602,486000000.0,False,0.11678414936178319,1.5286783042394014,True,True,XYL,0001524472,ticker:XYL,15
2018,5207000000.0,Revenues,0001524472-19-000009,USD,True,549000000.0,NetIncomeLoss,0001524472-19-000009,USD,True,586000000.0,NetCashProvidedByUsedInOperatingActivities,0001524472-19-000009,USD,True,237000000.0,PaymentsToAcquireProductiveAssets,0001524472-19-000009,USD,True,654000000.0,OperatingIncomeLoss,0001524472-19-000009,USD,True,82000000.0,InterestExpense,0001524472-19-000009,USD,True,36000000.0,IncomeTaxExpenseBenefit,0001524472-19-000009,USD,True,0.061,EffectiveIncomeTaxRateContinuingOperations,0001524472-19-000009,pure,True,585000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001524472-19-000009,USD,True,296000000.0,CashAndCashEquivalentsAtCarryingValue,0001524472-19-000009,USD,True,,,,,False,,,,,False,,,,,False,2051000000.0,FinanceLeaseLiabilityNoncurrent,0001524472-19-000009,USD,True,2768000000.0,StockholdersEquity,0001524472-19-000009,USD,True,296000000.0,2051000000.0,349000000.0,0.06153846153846154,4523000000.0,613753846.1538461,0.13569618530927396,654000000.0,False,0.06702515844056078,0.6357012750455373,True,True,XYL,0001524472,ticker:XYL,15
2017,4707000000.0,Revenues,0001524472-18-000006,USD,True,331000000.0,NetIncomeLoss,0001524472-18-000006,USD,True,686000000.0,NetCashProvidedByUsedInOperatingActivities,0001524472-18-000006,USD,True,170000000.0,PaymentsToAcquireProductiveAssets,0001524472-18-000006,USD,True,556000000.0,OperatingIncomeLoss,0001524472-18-000006,USD,True,82000000.0,InterestExpense,0001524472-18-000006,USD,True,136000000.0,IncomeTaxExpenseBenefit,0001524472-18-000006,USD,True,0.292,EffectiveIncomeTaxRateContinuingOperations,0001524472-18-000006,pure,True,466000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001524472-18-000006,USD,True,414000000.0,CashAndCashEquivalentsAtCarryingValue,0001524472-18-000006,USD,True,,,,,False,,,,,False,,,,,False,2200000000.0,FinanceLeaseLiabilityNoncurrent,0001524472-18-000006,USD,True,2503000000.0,StockholdersEquity,0001524472-18-000006,USD,True,414000000.0,2200000000.0,516000000.0,0.2918454935622318,4289000000.0,393733905.5793991,0.09180086397281396,556000000.0,False,0.10962396430847673,1.5589123867069485,True,True,XYL,0001524472,ticker:XYL,15
2016,3771000000.0,Revenues,0001524472-17-000008,USD,True,260000000.0,NetIncomeLoss,0001524472-17-000008,USD,True,497000000.0,NetCashProvidedByUsedInOperatingActivities,0001524472-17-000008,USD,True,124000000.0,PaymentsToAcquireProductiveAssets,0001524472-17-000008,USD,True,406000000.0,OperatingIncomeLoss,0001524472-17-000008,USD,True,70000000.0,InterestExpense,0001524472-17-000008,USD,True,80000000.0,IncomeTaxExpenseBenefit,0001524472-17-000008,USD,True,0.235,EffectiveIncomeTaxRateContinuingOperations,0001524472-17-000008,pure,True,340000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001524472-17-000008,USD,True,308000000.0,CashAndCashEquivalentsAtCarryingValue,0001524472-17-000008,USD,True,,,,,False,,,,,False,,,,,False,2108000000.0,FinanceLeaseLiabilityNoncurrent,0001524472-17-000008,USD,True,2190000000.0,StockholdersEquity,0001524472-17-000008,USD,True,308000000.0,2108000000.0,373000000.0,0.23529411764705882,3990000000.0,310470588.2352941,0.07781217750257997,406000000.0,False,0.09891275523733757,1.4346153846153846,True,True,XYL,0001524472,ticker:XYL,15
