Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,9090000000.0,1200000000.0,,,,
2025,9030000000.0,1180000000.0,35.0,1470000000.0,17630000000.0,
2024,8560000000.000001,1080000000.0,31.4,1120000000.0,16489999999.999998,
2023,7360000000.0,630000000.0,39.9,1010000000.0,16110000000.0,
2022,5520000000.0,440000000.0,54.3,940000000.0,7950000000.0,
2021,5190000000.0,510000000.0,48.0,1340000000.0,8270000000.0,
2020,4870000000.0,280000000.0,67.6,1870000000.0,8750000000.0,
2019,5240000000.0,410000000.0,33.0,720000000.0,7710000000.0,
2018,5200000000.0,580000000.0,20.1,290000000.0,7220000000.0,
2017,4700000000.0,460000000.0,33.8,410000000.0,6860000000.0,
2016,3770000000.0,340000000.0,30.7,300000000.0,6470000000.0,
2015,3650000000.0,400000000.0,17.4,680000000.0,4650000000.0,
2014,3910000000.0,420000000.0,18.2,660000000.0,4830000000.0,
2013,3830000000.0,290000000.0,24.2,530000000.0,4890000000.0,
2012,3790000000.0,380000000.0,14.5,500000000.0,4670000000.0,
2011,3800000000.0,380000000.0,14.2,310000000.0,4400000000.0,
2010,,,,130000000.0,3730000000.0,
2009,,,,81000000.0,2530000000.0,
