year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,8214000000.0,Revenues,0001041061-26-000084,USD,True,1559000000.0,NetIncomeLoss,0001041061-26-000084,USD,True,2010000000.0,NetCashProvidedByUsedInOperatingActivities,0001041061-26-000084,USD,True,371000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001041061-26-000084,USD,True,2574000000.0,OperatingIncomeLoss,0001041061-26-000084,USD,True,544000000.0,InterestExpense,0001041061-26-000084,USD,True,518000000.0,IncomeTaxExpenseBenefit,0001041061-26-000084,USD,True,0.249,EffectiveIncomeTaxRateContinuingOperations,0001041061-26-000084,pure,True,2077000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001041061-26-000084,USD,True,709000000.0,CashAndCashEquivalentsAtCarryingValue,0001041061-26-000084,USD,True,0.0,ShortTermInvestments,0001041061-26-000084,USD,True,,,,,False,38000000.0,DebtCurrent,0001041061-26-000084,USD,True,,,,,False,-7325000000.0,StockholdersEquity,0001041061-26-000084,USD,True,709000000.0,38000000.0,1639000000.0,0.24939817043813192,-7996000000.0,1932049109.2922482,-0.24162695213759983,2574000000.0,False,0.1995373752130509,1.0513149454778705,True,True,YUM,0001041061,ticker:YUM,26
2024,7549000000.0,Revenues,0001041061-25-000013,USD,True,1486000000.0,NetIncomeLoss,0001041061-25-000013,USD,True,1689000000.0,NetCashProvidedByUsedInOperatingActivities,0001041061-25-000013,USD,True,257000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001041061-25-000013,USD,True,2403000000.0,OperatingIncomeLoss,0001041061-25-000013,USD,True,542000000.0,InterestExpense,0001041061-25-000013,USD,True,414000000.0,IncomeTaxExpenseBenefit,0001041061-25-000013,USD,True,0.218,EffectiveIncomeTaxRateContinuingOperations,0001041061-25-000013,pure,True,1900000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001041061-25-000013,USD,True,616000000.0,CashAndCashEquivalentsAtCarryingValue,0001041061-25-000013,USD,True,91000000.0,ShortTermInvestments,0001041061-25-000013,USD,True,,,,,False,27000000.0,DebtCurrent,0001041061-25-000013,USD,True,,,,,False,-7648000000.0,StockholdersEquity,0001041061-25-000013,USD,True,707000000.0,27000000.0,1432000000.0,0.21789473684210525,-8328000000.0,1879398947.368421,-0.22567230395874413,2403000000.0,False,0.18969399920519275,0.9636608344549125,True,True,YUM,0001041061,ticker:YUM,26
2023,7076000000.0,Revenues,0001041061-24-000011,USD,True,1597000000.0,NetIncomeLoss,0001041061-24-000011,USD,True,1603000000.0,NetCashProvidedByUsedInOperatingActivities,0001041061-24-000011,USD,True,285000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001041061-24-000011,USD,True,2318000000.0,OperatingIncomeLoss,0001041061-24-000011,USD,True,602000000.0,InterestExpense,0001041061-24-000011,USD,True,221000000.0,IncomeTaxExpenseBenefit,0001041061-24-000011,USD,True,0.121,EffectiveIncomeTaxRateContinuingOperations,0001041061-24-000011,pure,True,1818000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001041061-24-000011,USD,True,512000000.0,CashAndCashEquivalentsAtCarryingValue,0001041061-24-000011,USD,True,,,,,False,,,,,False,53000000.0,DebtCurrent,0001041061-24-000011,USD,True,,,,,False,-7858000000.0,StockholdersEquity,0001041061-24-000011,USD,True,512000000.0,53000000.0,1318000000.0,0.12156215621562157,-8317000000.0,2036218921.892189,-0.24482612984155214,2318000000.0,False,0.18626342566421708,0.8252974326862867,True,True,YUM,0001041061,ticker:YUM,26
2022,6842000000.0,Revenues,0001041061-23-000009,USD,True,1325000000.0,NetIncomeLoss,0001041061-23-000009,USD,True,1427000000.0,NetCashProvidedByUsedInOperatingActivities,0001041061-23-000009,USD,True,279000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001041061-23-000009,USD,True,2187000000.0,OperatingIncomeLoss,0001041061-23-000009,USD,True,558000000.0,InterestExpense,0001041061-23-000009,USD,True,337000000.0,IncomeTaxExpenseBenefit,0001041061-23-000009,USD,True,0.203,EffectiveIncomeTaxRateContinuingOperations,0001041061-23-000009,pure,True,1662000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001041061-23-000009,USD,True,367000000.0,CashAndCashEquivalentsAtCarryingValue,0001041061-23-000009,USD,True,,,,,False,,,,,False,398000000.0,DebtCurrent,0001041061-23-000009,USD,True,,,,,False,-8876000000.0,StockholdersEquity,0001041061-23-000009,USD,True,367000000.0,398000000.0,1148000000.0,0.20276774969915765,-8845000000.0,1743546931.407942,-0.19712232124453838,2187000000.0,False,0.16778719672610348,0.8664150943396226,True,True,YUM,0001041061,ticker:YUM,26
2021,6584000000.0,Revenues,0001041061-22-000009,USD,True,1575000000.0,NetIncomeLoss,0001041061-22-000009,USD,True,1706000000.0,NetCashProvidedByUsedInOperatingActivities,0001041061-22-000009,USD,True,230000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001041061-22-000009,USD,True,2139000000.0,OperatingIncomeLoss,0001041061-22-000009,USD,True,551000000.0,InterestExpense,0001041061-22-000009,USD,True,99000000.0,IncomeTaxExpenseBenefit,0001041061-22-000009,USD,True,0.059,EffectiveIncomeTaxRateContinuingOperations,0001041061-22-000009,pure,True,1674000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001041061-22-000009,USD,True,486000000.0,CashAndCashEquivalentsAtCarryingValue,0001041061-22-000009,USD,True,,,,,False,,,,,False,68000000.0,DebtCurrent,0001041061-22-000009,USD,True,,,,,False,-8373000000.0,StockholdersEquity,0001041061-22-000009,USD,True,486000000.0,68000000.0,1476000000.0,0.05913978494623656,-8791000000.0,2012500000.0,-0.22892731202366057,2139000000.0,False,0.22417982989064397,0.9371428571428572,True,True,YUM,0001041061,ticker:YUM,26
2020,5652000000.0,Revenues,0001041061-21-000012,USD,True,904000000.0,NetIncomeLoss,0001041061-21-000012,USD,True,1305000000.0,NetCashProvidedByUsedInOperatingActivities,0001041061-21-000012,USD,True,160000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001041061-21-000012,USD,True,1503000000.0,OperatingIncomeLoss,0001041061-21-000012,USD,True,558000000.0,InterestExpense,0001041061-21-000012,USD,True,116000000.0,IncomeTaxExpenseBenefit,0001041061-21-000012,USD,True,0.114,EffectiveIncomeTaxRateContinuingOperations,0001041061-21-000012,pure,True,1020000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001041061-21-000012,USD,True,730000000.0,CashAndCashEquivalentsAtCarryingValue,0001041061-21-000012,USD,True,,,,,False,,,,,False,463000000.0,DebtCurrent,0001041061-21-000012,USD,True,,,,,False,-7891000000.0,StockholdersEquity,0001041061-21-000012,USD,True,730000000.0,463000000.0,1145000000.0,0.11372549019607843,-8158000000.0,1332070588.235294,-0.1632839652163881,1503000000.0,False,0.20258315640481245,1.2665929203539823,True,True,YUM,0001041061,ticker:YUM,26
2019,5597000000.0,Revenues,0001041061-20-000015,USD,True,1294000000.0,NetIncomeLoss,0001041061-20-000015,USD,True,1315000000.0,NetCashProvidedByUsedInOperatingActivities,0001041061-20-000015,USD,True,196000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001041061-20-000015,USD,True,1930000000.0,OperatingIncomeLoss,0001041061-20-000015,USD,True,519000000.0,InterestExpense,0001041061-20-000015,USD,True,79000000.0,IncomeTaxExpenseBenefit,0001041061-20-000015,USD,True,0.057,EffectiveIncomeTaxRateContinuingOperations,0001041061-20-000015,pure,True,1373000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001041061-20-000015,USD,True,605000000.0,CashAndCashEquivalentsAtCarryingValue,0001041061-20-000015,USD,True,,,,,False,,,,,False,437000000.0,DebtCurrent,0001041061-20-000015,USD,True,70000000.0,FinanceLeaseLiabilityNoncurrent,0001041061-20-000015,USD,True,-8016000000.0,StockholdersEquity,0001041061-20-000015,USD,True,605000000.0,507000000.0,1119000000.0,0.05753823743627094,-8114000000.0,1818951201.747997,-0.22417441480749287,1930000000.0,False,0.19992853314275505,0.8647604327666152,True,True,YUM,0001041061,ticker:YUM,26
2018,5688000000.0,Revenues,0001041061-19-000010,USD,True,1542000000.0,NetIncomeLoss,0001041061-19-000010,USD,True,,,,,False,,,,,False,2296000000.0,OperatingIncomeLoss,0001041061-19-000010,USD,True,496000000.0,InterestExpense,0001041061-19-000010,USD,True,297000000.0,IncomeTaxExpenseBenefit,0001041061-19-000010,USD,True,,,,,False,1839000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001041061-19-000010,USD,True,292000000.0,CashAndCashEquivalentsAtCarryingValue,0001041061-19-000010,USD,True,,,,,False,,,,,False,331000000.0,DebtCurrent,0001041061-19-000010,USD,True,,,,,False,-7926000000.0,StockholdersEquity,0001041061-19-000010,USD,True,292000000.0,331000000.0,,0.16150081566068517,-7887000000.0,1925194127.2430668,-0.24409713797934154,2296000000.0,False,,,True,False,YUM,0001041061,ticker:YUM,26
2017,6356000000.0,Revenues,0001041061-18-000013,USD,True,1340000000.0,NetIncomeLoss,0001041061-18-000013,USD,True,,,,,False,,,,,False,2761000000.0,OperatingIncomeLoss,0001041061-18-000013,USD,True,473000000.0,InterestExpense,0001041061-18-000013,USD,True,,,,,False,,,,,False,2274000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001041061-18-000013,USD,True,,,,,False,,,,,False,,,,,False,386000000.0,DebtCurrent,0001041061-18-000013,USD,True,,,,,False,-6334000000.0,StockholdersEquity,0001041061-18-000013,USD,True,,386000000.0,,,,,,2761000000.0,False,,,False,False,YUM,0001041061,ticker:YUM,26
2016,,,,,False,1619000000.0,NetIncomeLoss,0001041061-17-000016,USD,True,,,,,False,,,,,False,1625000000.0,OperatingIncomeLoss,0001041061-17-000016,USD,True,333000000.0,InterestExpense,0001041061-17-000016,USD,True,,,,,False,,,,,False,1318000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001041061-17-000016,USD,True,,,,,False,,,,,False,,,,,False,65000000.0,DebtCurrent,0001041061-17-000016,USD,True,,,,,False,-5656000000.0,StockholdersEquity,0001041061-17-000016,USD,True,,65000000.0,,,,,,1625000000.0,False,,,False,False,YUM,0001041061,ticker:YUM,26
