year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,9467000000.0,Revenues,0001555280-26-000011,USD,True,2673000000.0,NetIncomeLoss,0001555280-26-000011,USD,True,2904000000.0,NetCashProvidedByUsedInOperatingActivities,0001555280-26-000011,USD,True,621000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001555280-26-000011,USD,True,,,,,False,222000000.0,InterestExpense,0001555280-26-000011,USD,True,687000000.0,IncomeTaxExpenseBenefit,0001555280-26-000011,USD,True,0.204,EffectiveIncomeTaxRateContinuingOperations,0001555280-26-000011,pure,True,3360000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001555280-26-000011,USD,True,,,,,False,,,,,False,,,,,False,1000000.0,DebtCurrent,0001555280-26-000011,USD,True,6000000.0,FinanceLeaseLiabilityNoncurrent,0001555280-26-000011,USD,True,3331000000.0,StockholdersEquity,0001555280-26-000011,USD,True,,7000000.0,2283000000.0,0.2044642857142857,,,,3582000000.0,True,0.2411534805112496,0.8540965207631874,False,True,ZTS,0001555280,ticker:ZTS,14
2024,9256000000.0,Revenues,0001555280-25-000102,USD,True,2486000000.0,NetIncomeLoss,0001555280-25-000102,USD,True,2953000000.0,NetCashProvidedByUsedInOperatingActivities,0001555280-25-000102,USD,True,655000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001555280-25-000102,USD,True,,,,,False,225000000.0,InterestExpense,0001555280-25-000102,USD,True,637000000.0,IncomeTaxExpenseBenefit,0001555280-25-000102,USD,True,0.203,EffectiveIncomeTaxRateContinuingOperations,0001555280-25-000102,pure,True,3133000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001555280-25-000102,USD,True,,,,,False,,,,,False,,,,,False,1000000.0,DebtCurrent,0001555280-25-000102,USD,True,7000000.0,FinanceLeaseLiabilityNoncurrent,0001555280-25-000102,USD,True,4770000000.0,StockholdersEquity,0001555280-25-000102,USD,True,,8000000.0,2298000000.0,0.2033195020746888,,,,3358000000.0,True,0.2482713915298185,0.9243765084473049,False,True,ZTS,0001555280,ticker:ZTS,14
2023,8544000000.0,Revenues,0001555280-24-000143,USD,True,2344000000.0,NetIncomeLoss,0001555280-24-000143,USD,True,2353000000.0,NetCashProvidedByUsedInOperatingActivities,0001555280-24-000143,USD,True,732000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001555280-24-000143,USD,True,,,,,False,239000000.0,InterestExpense,0001555280-24-000143,USD,True,596000000.0,IncomeTaxExpenseBenefit,0001555280-24-000143,USD,True,0.203,EffectiveIncomeTaxRateContinuingOperations,0001555280-24-000143,pure,True,2936000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001555280-24-000143,USD,True,,,,,False,,,,,False,,,,,False,1000000.0,DebtCurrent,0001555280-24-000143,USD,True,8000000.0,FinanceLeaseLiabilityNoncurrent,0001555280-24-000143,USD,True,4997000000.0,StockholdersEquity,0001555280-24-000143,USD,True,,9000000.0,1621000000.0,0.20299727520435967,,,,3175000000.0,True,0.1897237827715356,0.6915529010238908,False,True,ZTS,0001555280,ticker:ZTS,14
2022,8080000000.0,Revenues,0001555280-23-000074,USD,True,2114000000.0,NetIncomeLoss,0001555280-23-000074,USD,True,1912000000.0,NetCashProvidedByUsedInOperatingActivities,0001555280-23-000074,USD,True,586000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001555280-23-000074,USD,True,,,,,False,221000000.0,InterestExpense,0001555280-23-000074,USD,True,545000000.0,IncomeTaxExpenseBenefit,0001555280-23-000074,USD,True,0.205,EffectiveIncomeTaxRateContinuingOperations,0001555280-23-000074,pure,True,2656000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001555280-23-000074,USD,True,,,,,False,,,,,False,,,,,False,1350000000.0,DebtCurrent,0001555280-23-000074,USD,True,6552000000.0,FinanceLeaseLiabilityNoncurrent,0001555280-23-000074,USD,True,4405000000.0,StockholdersEquity,0001555280-23-000074,USD,True,,7902000000.0,1326000000.0,0.20519578313253012,,,,2877000000.0,True,0.16410891089108912,0.6272469252601703,False,True,ZTS,0001555280,ticker:ZTS,14
2021,7776000000.0,Revenues,0001555280-22-000078,USD,True,2037000000.0,NetIncomeLoss,0001555280-22-000078,USD,True,2213000000.0,NetCashProvidedByUsedInOperatingActivities,0001555280-22-000078,USD,True,477000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001555280-22-000078,USD,True,,,,,False,224000000.0,InterestExpense,0001555280-22-000078,USD,True,454000000.0,IncomeTaxExpenseBenefit,0001555280-22-000078,USD,True,0.182,EffectiveIncomeTaxRateContinuingOperations,0001555280-22-000078,pure,True,2488000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001555280-22-000078,USD,True,,,,,False,,,,,False,,,,,False,0.0,DebtCurrent,0001555280-22-000078,USD,True,6592000000.0,FinanceLeaseLiabilityNoncurrent,0001555280-22-000078,USD,True,4543000000.0,StockholdersEquity,0001555280-22-000078,USD,True,,6592000000.0,1736000000.0,0.182475884244373,,,,2712000000.0,True,0.22325102880658437,0.852233676975945,False,True,ZTS,0001555280,ticker:ZTS,14
2020,6675000000.0,Revenues,0001555280-21-000098,USD,True,1638000000.0,NetIncomeLoss,0001555280-21-000098,USD,True,2126000000.0,NetCashProvidedByUsedInOperatingActivities,0001555280-21-000098,USD,True,453000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001555280-21-000098,USD,True,,,,,False,231000000.0,InterestExpense,0001555280-21-000098,USD,True,360000000.0,IncomeTaxExpenseBenefit,0001555280-21-000098,USD,True,0.18,EffectiveIncomeTaxRateContinuingOperations,0001555280-21-000098,pure,True,1996000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001555280-21-000098,USD,True,,,,,False,,,,,False,,,,,False,600000000.0,DebtCurrent,0001555280-21-000098,USD,True,6595000000.0,FinanceLeaseLiabilityNoncurrent,0001555280-21-000098,USD,True,3769000000.0,StockholdersEquity,0001555280-21-000098,USD,True,,7195000000.0,1673000000.0,0.18036072144288579,,,,2227000000.0,True,0.2506367041198502,1.0213675213675213,False,True,ZTS,0001555280,ticker:ZTS,14
2019,6260000000.0,Revenues,0001555280-20-000054,USD,True,1500000000.0,NetIncomeLoss,0001555280-20-000054,USD,True,1795000000.0,NetCashProvidedByUsedInOperatingActivities,0001555280-20-000054,USD,True,460000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001555280-20-000054,USD,True,,,,,False,223000000.0,InterestExpense,0001555280-20-000054,USD,True,301000000.0,IncomeTaxExpenseBenefit,0001555280-20-000054,USD,True,0.167,EffectiveIncomeTaxRateContinuingOperations,0001555280-20-000054,pure,True,1801000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001555280-20-000054,USD,True,,,,,False,0.0,ShortTermInvestments,0001555280-20-000054,USD,True,,,,,False,500000000.0,DebtCurrent,0001555280-20-000054,USD,True,5947000000.0,FinanceLeaseLiabilityNoncurrent,0001555280-20-000054,USD,True,2708000000.0,StockholdersEquity,0001555280-20-000054,USD,True,0.0,6447000000.0,1335000000.0,0.167129372570794,9155000000.0,1685730149.916713,0.18413218458948258,2024000000.0,True,0.213258785942492,0.89,True,True,ZTS,0001555280,ticker:ZTS,14
2018,5825000000.0,Revenues,0001555280-19-000041,USD,True,1428000000.0,NetIncomeLoss,0001555280-19-000041,USD,True,1790000000.0,NetCashProvidedByUsedInOperatingActivities,0001555280-19-000041,USD,True,338000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001555280-19-000041,USD,True,,,,,False,206000000.0,InterestExpense,0001555280-19-000041,USD,True,266000000.0,IncomeTaxExpenseBenefit,0001555280-19-000041,USD,True,0.157,EffectiveIncomeTaxRateContinuingOperations,0001555280-19-000041,pure,True,1690000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001555280-19-000041,USD,True,,,,,False,99000000.0,ShortTermInvestments,0001555280-19-000041,USD,True,,,,,False,0.0,DebtCurrent,0001555280-19-000041,USD,True,6443000000.0,FinanceLeaseLiabilityNoncurrent,0001555280-19-000041,USD,True,2185000000.0,StockholdersEquity,0001555280-19-000041,USD,True,99000000.0,6443000000.0,1452000000.0,0.15739644970414202,8529000000.0,1597576331.3609467,0.187311095246916,1896000000.0,True,0.2492703862660944,1.0168067226890756,True,True,ZTS,0001555280,ticker:ZTS,14
2017,5307000000.0,Revenues,0001555280-18-000053,USD,True,864000000.0,NetIncomeLoss,0001555280-18-000053,USD,True,1346000000.0,NetCashProvidedByUsedInOperatingActivities,0001555280-18-000053,USD,True,224000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001555280-18-000053,USD,True,,,,,False,175000000.0,InterestExpense,0001555280-18-000053,USD,True,663000000.0,IncomeTaxExpenseBenefit,0001555280-18-000053,USD,True,0.435,EffectiveIncomeTaxRateContinuingOperations,0001555280-18-000053,pure,True,1525000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001555280-18-000053,USD,True,1564000000.0,CashAndCashEquivalentsAtCarryingValue,0001555280-18-000053,USD,True,,,,,False,,,,,False,0.0,DebtCurrent,0001555280-18-000053,USD,True,4953000000.0,FinanceLeaseLiabilityNoncurrent,0001555280-18-000053,USD,True,1770000000.0,StockholdersEquity,0001555280-18-000053,USD,True,1564000000.0,4953000000.0,1122000000.0,0.43475409836065576,5159000000.0,960918032.7868853,0.18626052195907836,1700000000.0,True,0.21141888072357265,1.2986111111111112,True,True,ZTS,0001555280,ticker:ZTS,14
2016,4888000000.0,Revenues,0001555280-17-000044,USD,True,821000000.0,NetIncomeLoss,0001555280-17-000044,USD,True,713000000.0,NetCashProvidedByUsedInOperatingActivities,0001555280-17-000044,USD,True,216000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001555280-17-000044,USD,True,,,,,False,166000000.0,InterestExpense,0001555280-17-000044,USD,True,409000000.0,IncomeTaxExpenseBenefit,0001555280-17-000044,USD,True,0.333,EffectiveIncomeTaxRateContinuingOperations,0001555280-17-000044,pure,True,1228000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001555280-17-000044,USD,True,727000000.0,CashAndCashEquivalentsAtCarryingValue,0001555280-17-000044,USD,True,,,,,False,,,,,False,0.0,DebtCurrent,0001555280-17-000044,USD,True,4468000000.0,FinanceLeaseLiabilityNoncurrent,0001555280-17-000044,USD,True,1487000000.0,StockholdersEquity,0001555280-17-000044,USD,True,727000000.0,4468000000.0,497000000.0,0.3330618892508143,5228000000.0,929711726.3843646,0.1778331534782641,1394000000.0,True,0.10167757774140752,0.6053593179049939,True,True,ZTS,0001555280,ticker:ZTS,14
