Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,9500000000.0,3300000000.0,,,,
2025,9440000000.0,3320000000.0,20.9,2310000000.0,15460000000.0,
2024,9250000000.0,3130000000.0,29.4,1980000000.0,14230000000.0,
2023,8539999999.999999,2930000000.0,38.2,2029999999.9999998,14280000000.0,
2022,8080000000.0,2650000000.0,31.6,3570000000.0,14920000000.0,
2021,7770000000.0,2480000000.0,54.7,3480000000.0,13900000000.0,
2020,6670000000.0,1990000000.0,,3600000000.0,13600000000.0,
2019,6260000000.0,1800000000.0,40.2,1930000000.0,11540000000.0,
2018,5820000000.0,1690000000.0,27.5,1690000000.0,10770000000.0,
2017,5300000000.0,1520000000.0,38.6,1560000000.0,8580000000.0,
2016,4880000000.0,1220000000.0,30.4,720000000.0,7640000000.0,
2015,4760000000.0,540000000.0,65.4,1150000000.0,7910000000.0,
2014,4780000000.0,820000000.0,34.2,880000000.0,6580000000.0,
2013,4560000000.0,690000000.0,29.5,610000000.0,6550000000.0,
2012,4330000000.0,710000000.0,,310000000.0,6260000000.0,
2011,4230000000.0000005,390000000.0,,79000000.0,5710000000.0,
2010,,,,63000000.0,5280000000.0,
