Date,SimFinId,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding
2020-09-09,217867,340.9,349.7,340.39,346.43,317.66,2100864,,441255000.0
2020-09-10,217867,346.27,348.0,338.76,339.53,311.33,1959599,,441255000.0
2020-09-11,217867,340.28,343.26,336.1,339.13,310.96,1599904,,441255000.0
2020-09-14,217867,340.99,344.84,340.47,342.92,314.44,1522316,,441255000.0
2020-09-15,217867,345.02,347.76,342.75,343.91,315.35,1362499,,441255000.0
2020-09-16,217867,347.27,348.76,343.25,343.73,315.18,1657876,,441255000.0
2020-09-17,217867,339.58,342.89,336.37,338.88,310.73,2681457,,441255000.0
2020-09-18,217867,340.2,341.22,331.2,335.96,308.06,3409322,,441255000.0
2020-09-21,217867,333.97,339.62,333.71,339.57,311.37,2427359,,441255000.0
2020-09-22,217867,340.7,344.9,339.59,344.45,315.84,2128063,,441255000.0
2020-09-23,217867,348.0,348.25,344.06,344.63,316.01,3577124,,441255000.0
2020-09-24,217867,345.0,347.33,338.31,347.0,318.18,5779283,,441255000.0
2020-09-25,217867,340.74,343.77,335.36,342.58,314.13,7338492,,441255000.0
2020-09-28,217867,343.76,349.77,343.1,349.62,320.58,3459192,,441255000.0
2020-09-29,217867,348.95,354.29,347.1,352.14,322.89,2526612,,441228027.0
2020-09-30,217867,352.56,357.7,351.17,355.0,325.51,2525800,,441228027.0
2020-10-01,217867,356.26,359.69,354.82,358.46,328.69,2052988,,441228027.0
2020-10-02,217867,354.73,357.84,352.85,355.01,325.52,2124977,,441228027.0
2020-10-05,217867,355.33,358.98,355.33,358.58,328.8,2093540,,441228027.0
2020-10-06,217867,361.9,363.0,357.04,358.35,328.59,2760443,,441228027.0
2020-10-07,217867,360.47,364.74,359.66,363.02,332.87,1959147,,441228027.0
2020-10-08,217867,364.8,365.97,361.75,365.09,334.77,1793133,,441228027.0
2020-10-09,217867,366.0,369.75,365.7,369.46,338.77,1730688,,441228027.0
2020-10-12,217867,371.0,380.66,370.77,376.48,345.21,2806875,,441228027.0
2020-10-13,217867,378.42,382.29,376.48,380.68,349.06,1823278,,441228027.0
2020-10-14,217867,382.89,383.87,376.7,378.34,346.92,1905710,,441228027.0
2020-10-15,217867,376.46,378.36,373.06,376.58,345.3,1699338,,441228027.0
2020-10-16,217867,380.5,384.87,379.12,381.54,349.85,2460490,,441228027.0
2020-10-19,217867,382.03,383.08,374.71,375.56,344.37,1938064,,441228027.0
2020-10-20,217867,377.69,382.08,376.12,378.31,346.89,1282650,,441228027.0
2020-10-21,217867,378.56,381.28,377.02,377.82,346.44,1466495,,441228027.0
2020-10-22,217867,377.35,378.38,372.03,375.75,344.54,1813550,,441228027.0
2020-10-23,217867,375.61,376.52,373.56,374.6,343.49,1107978,,441228027.0
2020-10-26,217867,366.68,372.63,366.12,370.71,339.92,2144995,,441228027.0
2020-10-27,217867,368.77,374.91,368.77,372.72,341.76,1525684,,441228027.0
2020-10-28,217867,367.33,372.41,364.67,364.96,334.65,1908295,,441228027.0
2020-10-29,217867,363.23,369.09,362.51,364.86,335.2,1838468,0.7,441228027.0
2020-10-30,217867,361.13,363.85,355.79,357.62,328.55,2724917,,441228027.0
2020-11-02,217867,362.22,365.66,360.71,364.39,334.77,1646349,,441228027.0
2020-11-03,217867,368.94,374.8,367.89,371.96,341.72,2013103,,441228027.0
2020-11-04,217867,374.02,381.63,374.0,376.17,345.59,2450234,,441228027.0
2020-11-05,217867,382.48,386.58,379.5,385.23,353.91,2255767,,441228027.0
2020-11-06,217867,381.88,386.8,380.89,385.66,354.31,1950329,,441228027.0
2020-11-09,217867,388.25,389.5,364.76,365.0,335.33,4371322,,441228027.0
2020-11-10,217867,363.88,371.54,360.59,366.62,336.81,2662644,,441228027.0
2020-11-11,217867,369.68,374.7,368.16,372.92,342.6,1688755,,441228027.0
2020-11-12,217867,376.95,378.24,373.5,375.71,345.16,1537419,,441228027.0
2020-11-13,217867,376.52,379.83,374.99,378.84,348.04,1275252,,441228027.0
2020-11-16,217867,376.91,381.28,376.91,379.79,348.91,1691460,,441228027.0
2020-11-17,217867,387.32,388.48,381.79,381.92,350.87,3299130,,441228027.0
2020-11-18,217867,382.89,388.05,381.73,382.23,351.15,2134609,,441228027.0
2020-11-19,217867,383.61,384.71,380.31,383.54,352.36,1768904,,441228027.0
2020-11-20,217867,383.95,385.5,381.01,381.12,350.14,1809463,,441228027.0
2020-11-23,217867,383.0,383.06,380.34,381.71,350.68,1685136,,442955000.0
2020-11-24,217867,383.69,386.05,380.71,384.22,352.98,2058808,,442955000.0
2020-11-25,217867,385.79,388.34,385.56,387.75,356.23,2034236,,442955000.0
2020-11-27,217867,390.46,390.67,387.75,388.39,356.81,1329425,,442955000.0
2020-11-30,217867,391.75,393.15,385.23,391.77,359.92,3733758,,442955000.0
2020-12-01,217867,384.5,388.07,381.18,387.56,365.24,2897306,10.0,442955000.0
2020-12-02,217867,385.47,386.88,381.57,383.5,361.41,2212845,,442955000.0
2020-12-03,217867,378.0,378.73,373.28,374.05,352.51,3976442,,442955000.0
2020-12-04,217867,375.21,375.31,371.89,373.43,351.92,2839727,,442955000.0
2020-12-07,217867,374.27,376.5,372.65,373.33,351.83,2652928,,442955000.0
2020-12-08,217867,373.95,379.52,370.75,377.6,355.85,2685523,,442955000.0
2020-12-09,217867,379.88,381.0,372.8,374.29,352.73,2461551,,442955229.0
2020-12-10,217867,374.29,375.0,371.56,372.79,351.32,2566344,,442955229.0
2020-12-11,217867,379.77,379.77,372.54,375.1,353.5,3483947,,442955229.0
2020-12-14,217867,376.56,378.18,373.21,374.38,352.82,2778433,,442955229.0
2020-12-15,217867,374.5,375.69,369.3,371.88,350.46,2137136,,442955229.0
2020-12-16,217867,371.16,372.84,368.85,369.44,348.16,2385081,,442955229.0
2020-12-17,217867,370.26,370.97,368.0,370.29,348.96,2314176,,442955229.0
2020-12-18,217867,371.1,371.36,365.93,367.0,345.86,4140033,,442955229.0
2020-12-21,217867,365.09,366.12,361.81,364.97,343.95,2329659,,442955229.0
2020-12-22,217867,364.1,364.76,360.61,362.03,341.18,2106626,,442955229.0
2020-12-23,217867,362.45,363.1,359.5,361.89,341.05,1782110,,442955229.0
2020-12-24,217867,361.41,365.33,361.41,364.58,343.58,972522,,442955229.0
2020-12-28,217867,365.5,371.69,365.08,371.06,349.69,3195102,,442955229.0
2020-12-29,217867,372.25,373.25,370.26,372.72,351.25,2072603,,442955229.0
2020-12-30,217867,374.2,375.86,373.28,374.45,352.88,1777985,,442955229.0
2020-12-31,217867,374.99,377.04,372.46,376.78,355.08,1628904,,442955229.0
2021-01-04,217867,377.43,381.55,374.81,380.15,358.26,3322184,,442955229.0
2021-01-05,217867,378.86,380.2,375.25,375.74,354.1,2748442,,442955229.0
2021-01-06,217867,373.82,375.8,369.65,370.02,348.71,2661436,,442955229.0
2021-01-07,217867,371.01,371.65,366.79,367.92,346.73,2849525,,442955229.0
2021-01-08,217867,368.12,370.26,364.29,369.94,348.63,2599696,,442955229.0
2021-01-11,217867,368.58,371.0,363.86,364.01,343.04,2564790,,442955229.0
2021-01-12,217867,364.0,365.07,360.25,364.2,343.22,2380473,,442955229.0
2021-01-13,217867,364.37,368.74,363.0,366.95,345.82,1968804,,442955229.0
2021-01-14,217867,366.0,366.5,361.56,362.35,341.48,2363869,,442955229.0
2021-01-15,217867,361.06,364.9,360.8,362.16,341.3,2340396,,442955229.0
2021-01-19,217867,362.36,362.95,352.44,354.47,334.05,4533829,,442955229.0
2021-01-20,217867,354.39,361.9,353.41,361.3,340.49,2767231,,442955229.0
2021-01-21,217867,361.3,363.99,359.94,362.8,341.9,2122581,,442955229.0
2021-01-22,217867,363.2,364.63,359.85,362.3,341.43,1960295,,442955229.0
2021-01-25,217867,360.86,361.96,356.82,361.88,341.04,2735901,,442955229.0
2021-01-26,217867,360.2,365.9,358.88,364.98,343.96,1806952,,442955229.0
2021-01-27,217867,362.99,365.8,354.85,356.39,335.86,3120813,,442955229.0
2021-01-28,217867,356.85,361.61,356.07,357.06,336.5,2251115,,442955229.0
2021-01-29,217867,354.75,356.29,351.88,352.43,332.13,2598738,,442955229.0
2021-02-01,217867,351.21,352.79,349.21,350.52,330.33,2371160,,442955229.0
2021-02-02,217867,351.76,357.7,350.72,355.58,335.1,1892323,,442955229.0
2021-02-03,217867,356.23,357.53,353.21,355.21,334.75,1759821,,442955229.0
2021-02-04,217867,356.71,358.38,353.85,355.85,336.01,3411624,0.7,442955229.0
2021-02-05,217867,356.55,356.85,354.1,355.17,335.37,2165628,,442955229.0
2021-02-08,217867,356.57,360.04,355.57,359.83,339.77,2520650,,442955229.0
2021-02-09,217867,360.04,361.67,358.3,359.56,339.52,2136756,,442955229.0
2021-02-10,217867,361.0,361.0,355.12,356.12,336.27,2134420,,442955229.0
2021-02-11,217867,355.73,356.5,351.39,352.2,332.57,2088355,,442955229.0
2021-02-12,217867,351.99,352.98,350.1,352.75,333.09,2096607,,442955229.0
2021-02-16,217867,353.08,355.36,352.04,354.0,334.27,1829035,,442654000.0
2021-02-17,217867,353.11,358.17,351.91,358.04,338.08,2138972,,442654000.0
2021-02-18,217867,352.28,358.2,352.28,356.92,337.02,1915706,,442654000.0
2021-02-19,217867,356.69,357.93,354.57,354.77,334.99,1839533,,442654000.0
2021-02-22,217867,352.75,353.29,348.82,350.21,330.69,2189134,,442654000.0
2021-02-23,217867,349.8,351.0,342.03,342.15,323.08,3692638,,442654000.0
2021-02-24,217867,341.79,342.5,337.89,340.7,321.71,3305848,,442654000.0
2021-02-25,217867,340.85,343.0,333.35,333.9,315.29,3607140,,442654000.0
2021-02-26,217867,335.51,335.89,330.94,331.0,312.55,3333044,,442654000.0
2021-03-01,217867,335.21,336.0,331.36,331.77,313.28,4656825,,442654000.0
2021-03-02,217867,333.69,334.69,328.42,328.46,310.15,4660068,,442654000.0
2021-03-03,217867,328.17,328.42,323.76,323.92,305.86,4064203,,442533785.0
2021-03-04,217867,323.37,325.6,315.04,319.04,301.26,5501245,,442533785.0
2021-03-05,217867,315.33,318.43,307.0,317.32,299.63,8102777,,442533785.0
2021-03-08,217867,318.91,322.33,310.92,311.42,294.06,4873459,,442533785.0
2021-03-09,217867,313.76,320.28,312.71,318.78,301.01,5426779,,442533785.0
2021-03-10,217867,321.14,327.39,317.32,323.83,305.78,4523512,,442533785.0
2021-03-11,217867,330.41,331.25,326.72,328.65,310.33,4338898,,442533785.0
2021-03-12,217867,328.1,331.62,325.6,331.14,312.68,3182073,,442533785.0
2021-03-15,217867,333.6,333.68,327.32,330.51,312.09,3244291,,442533785.0
2021-03-16,217867,329.67,330.03,326.64,327.25,309.01,3066700,,442533785.0
2021-03-17,217867,326.0,330.5,324.12,329.19,310.84,2672370,,442533785.0
2021-03-18,217867,326.48,328.14,322.38,322.98,304.98,2738244,,442533785.0
2021-03-19,217867,323.61,329.25,322.39,328.91,310.58,4859256,,442533785.0
2021-03-22,217867,328.45,336.17,328.19,334.49,315.85,4064876,,442533785.0
2021-03-23,217867,333.89,342.51,333.8,340.34,321.37,3641218,,442533785.0
2021-03-24,217867,342.22,342.51,336.83,338.04,319.2,3006369,,442533785.0
2021-03-25,217867,337.81,347.78,337.27,346.34,327.03,4307145,,442533785.0
2021-03-26,217867,346.21,352.46,344.1,352.02,332.4,3061215,,442533785.0
2021-03-29,217867,351.45,357.77,351.01,356.15,336.3,3011985,,442533785.0
2021-03-30,217867,353.58,354.77,348.84,349.75,330.25,2602426,,442533785.0
2021-03-31,217867,350.66,357.45,349.23,352.48,332.83,2832221,,442533785.0
2021-04-01,217867,352.54,357.32,351.63,354.94,335.16,2938607,,442533785.0
2021-04-05,217867,357.5,362.67,356.84,360.82,340.71,2705656,,442533785.0
2021-04-06,217867,359.8,362.8,359.0,360.12,340.05,2142011,,442533785.0
2021-04-07,217867,360.87,361.46,357.61,358.81,338.81,1808369,,442533785.0
2021-04-08,217867,362.8,366.02,359.6,361.22,341.09,2839157,,442533785.0
2021-04-09,217867,360.91,363.71,359.6,363.21,342.96,1610750,,442533785.0
2021-04-12,217867,362.84,365.25,361.34,364.81,344.48,1836606,,442533785.0
2021-04-13,217867,365.34,367.3,364.27,365.21,344.85,1796367,,442533785.0
2021-04-14,217867,364.85,364.85,362.55,363.17,342.93,1509408,,442533785.0
2021-04-15,217867,364.88,369.55,364.27,368.8,348.24,1850332,,442533785.0
2021-04-16,217867,369.7,372.8,368.58,370.72,350.06,2249168,,442533785.0
2021-04-19,217867,371.0,371.53,368.2,369.55,348.95,1560002,,442533785.0
2021-04-20,217867,369.0,375.36,368.73,371.73,351.01,2330659,,442533785.0
2021-04-21,217867,371.61,374.58,371.47,374.09,353.24,1532098,,442533785.0
2021-04-22,217867,374.34,375.44,370.03,371.26,350.57,2138003,,442533785.0
2021-04-23,217867,371.26,374.85,370.41,373.28,352.47,1404929,,442533785.0
2021-04-26,217867,373.9,373.9,368.21,368.52,347.98,2059737,,442533785.0
2021-04-27,217867,368.17,370.96,365.29,370.21,349.57,1875871,,442533785.0
2021-04-28,217867,369.55,370.5,368.18,369.59,348.99,1305602,,442533785.0
2021-04-29,217867,368.54,374.71,368.53,373.54,353.46,1848301,0.79,442533785.0
2021-04-30,217867,372.91,374.16,371.33,372.09,352.09,2118990,,442533785.0
2021-05-03,217867,373.84,379.62,372.89,379.32,358.93,2685849,,442533785.0
2021-05-04,217867,379.03,379.23,373.75,375.29,355.12,2133796,,442533785.0
2021-05-05,217867,376.35,377.52,372.05,372.5,352.48,1905324,,442533785.0
2021-05-06,217867,373.19,382.94,373.19,382.76,362.19,2641378,,442533785.0
2021-05-07,217867,382.83,386.45,382.2,384.32,363.67,1817365,,442533785.0
2021-05-10,217867,385.49,387.89,381.28,381.48,360.98,1998663,,442141000.0
2021-05-11,217867,379.31,380.92,376.0,378.18,357.86,1859681,,442141000.0
2021-05-12,217867,376.0,376.94,371.11,372.2,352.2,2344572,,442141000.0
2021-05-13,217867,373.09,381.44,371.57,379.53,359.13,2023855,,442141000.0
2021-05-14,217867,382.14,385.82,380.1,384.42,363.76,1876138,,442141000.0
2021-05-17,217867,385.04,387.05,382.9,383.96,363.32,1830769,,442141000.0
2021-05-18,217867,386.45,389.45,382.51,382.81,362.24,1698198,,442141000.0
2021-05-19,217867,377.15,381.73,376.13,379.66,359.26,1725320,,442141000.0
2021-05-20,217867,379.18,384.52,378.28,383.58,362.96,1427343,,442141000.0
2021-05-21,217867,385.05,385.35,380.43,380.72,360.26,1706560,,442141000.0
2021-05-24,217867,384.34,385.76,381.89,383.45,362.84,1657024,,442141000.0
2021-05-25,217867,383.62,385.74,382.03,385.38,364.67,1379749,,442141000.0
2021-05-26,217867,385.86,387.75,385.02,385.62,364.9,1647955,,442069091.0
2021-05-27,217867,385.13,387.77,383.5,387.5,366.67,4452001,,442069091.0
