Date,SimFinId,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding
2020-09-09,89661,148.15,151.1,148.12,149.7,127.58,6960668,,2632823475.0
2020-09-10,89661,149.25,149.78,146.52,146.91,125.21,6191800,,2632823475.0
2020-09-11,89661,147.05,148.53,146.63,147.78,125.95,3934691,,2632823475.0
2020-09-14,89661,148.12,149.47,148.01,148.35,126.43,4375798,,2632823475.0
2020-09-15,89661,149.45,150.59,148.52,148.89,126.89,3659221,,2632823475.0
2020-09-16,89661,149.39,150.06,148.35,148.4,126.48,4323502,,2632823475.0
2020-09-17,89661,148.04,148.63,146.05,147.17,125.43,5461414,,2632823475.0
2020-09-18,89661,146.51,149.65,146.2,149.18,127.14,12174044,,2632823475.0
2020-09-21,89661,147.58,147.93,142.96,145.1,123.66,7574501,,2632823475.0
2020-09-22,89661,144.69,145.35,143.72,144.21,122.9,5295917,,2632823475.0
2020-09-23,89661,147.48,147.55,144.38,144.44,123.1,8784436,,2632823475.0
2020-09-24,89661,144.56,145.25,143.34,144.67,123.3,5614844,,2632823475.0
2020-09-25,89661,144.0,146.25,143.89,145.66,124.14,5531209,,2632823475.0
2020-09-28,89661,146.73,148.29,146.42,147.11,125.38,5843189,,2632823475.0
2020-09-29,89661,147.6,147.92,146.06,147.06,125.33,6771016,,2632823475.0
2020-09-30,89661,147.45,149.73,146.84,148.88,126.88,8487691,,2632823475.0
2020-10-01,89661,149.31,149.65,146.46,147.32,125.55,6457808,,2632823475.0
2020-10-02,89661,146.21,148.41,145.83,146.24,124.63,5485602,,2632823475.0
2020-10-05,89661,147.0,148.38,146.42,148.23,126.33,4992758,,2632823475.0
2020-10-06,89661,148.28,148.61,145.87,146.26,124.65,5118212,,2632823475.0
2020-10-07,89661,146.49,148.23,145.81,147.88,126.03,5603123,,2632823475.0
2020-10-08,89661,148.5,149.85,148.04,148.89,126.89,4413531,,2632823475.0
2020-10-09,89661,149.65,151.48,149.44,150.97,128.67,5054116,,2632823475.0
2020-10-12,89661,151.6,153.14,151.02,151.84,129.41,7273170,,2632823475.0
2020-10-13,89661,149.0,150.12,147.77,148.36,126.44,11057570,,2632823475.0
2020-10-14,89661,148.82,149.03,147.39,148.1,126.22,7707047,,2632823475.0
2020-10-15,89661,147.48,147.9,146.33,147.19,125.44,5979015,,2632823475.0
2020-10-16,89661,147.6,148.76,147.01,148.1,126.22,6098404,,2632823475.0
2020-10-19,89661,148.53,148.9,144.13,144.32,123.0,7250755,,2632542672.0
2020-10-20,89661,144.66,145.75,144.12,144.55,123.19,5326540,,2632542672.0
2020-10-21,89661,144.12,145.34,143.91,143.93,122.67,5221348,,2632542672.0
2020-10-22,89661,144.16,145.69,143.84,145.08,123.65,5280253,,2632542672.0
2020-10-23,89661,145.88,147.47,144.35,145.24,123.78,4154372,,2632542672.0
2020-10-26,89661,144.43,144.77,142.75,143.97,122.7,6929472,,2632542672.0
2020-10-27,89661,143.74,144.29,142.92,143.15,122.0,4890064,,2632542672.0
