Date,SimFinId,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding
2020-09-09,331628,337.39,342.76,332.37,339.64,328.22,3344928,,1003740343.0
2020-09-10,331628,342.5,345.13,331.14,332.88,321.69,2845917,,1003740343.0
2020-09-11,331628,334.71,334.71,327.31,330.15,319.05,2920670,,1003740343.0
2020-09-14,331628,334.97,340.0,334.02,338.6,327.22,3416441,,1003740343.0
2020-09-15,331628,342.74,343.93,338.53,339.14,327.74,2396398,,1003740343.0
2020-09-16,331628,341.28,346.04,339.79,341.85,330.36,3049084,,1003740343.0
2020-09-17,331628,337.14,343.72,336.0,339.43,328.02,3713239,,1003740343.0
2020-09-18,331628,338.21,341.13,333.37,335.26,323.99,4006023,,1003740343.0
2020-09-21,331628,329.47,331.67,320.81,327.85,316.83,4466047,,1003740343.0
2020-09-22,331628,329.51,336.03,325.11,335.31,324.04,3375282,,1003740343.0
2020-09-23,331628,334.84,335.17,323.47,324.53,313.62,2893892,,1003740343.0
2020-09-24,331628,323.2,330.78,321.18,328.21,317.18,3706328,,1003740343.0
2020-09-25,331628,325.65,333.48,322.1,331.78,320.63,3077606,,1003740343.0
2020-09-28,331628,336.61,340.57,335.81,338.39,327.01,3122503,,1003740343.0
2020-09-29,331628,338.39,340.72,335.82,336.23,324.93,2703855,,1003740343.0
2020-09-30,331628,336.7,343.65,336.42,338.17,326.8,3285410,,998000000.0
2020-10-01,331628,342.24,346.7,340.28,343.37,331.83,2503643,,998000000.0
2020-10-02,331628,338.27,342.61,336.01,338.83,327.44,2184840,,998000000.0
2020-10-05,331628,341.68,343.25,338.97,343.25,331.71,2081554,,998000000.0
2020-10-06,331628,342.06,346.36,336.22,337.43,326.09,2553410,,998000000.0
2020-10-07,331628,341.78,344.65,340.33,343.9,332.34,3068268,,998000000.0
2020-10-08,331628,345.01,347.69,344.24,345.15,333.93,1991848,0.4,998000000.0
2020-10-09,331628,347.99,353.36,347.0,352.39,340.94,3116763,,998000000.0
2020-10-12,331628,355.0,355.0,350.82,352.04,340.6,2943192,,998000000.0
2020-10-13,331628,351.43,351.5,345.02,345.84,334.6,2523751,,998000000.0
2020-10-14,331628,345.76,347.19,341.19,342.7,331.56,2234659,,998000000.0
2020-10-15,331628,338.3,339.61,332.81,338.57,327.57,3728078,,998000000.0
2020-10-16,331628,340.0,344.98,339.23,339.4,328.37,3326354,,998000000.0
2020-10-19,331628,340.12,341.3,330.43,331.67,320.89,2937563,,998000000.0
2020-10-20,331628,333.04,336.8,331.68,331.72,320.94,2679689,,998000000.0
2020-10-21,331628,332.49,336.32,331.3,333.42,322.58,2725252,,998000000.0
2020-10-22,331628,333.37,335.38,329.25,333.6,322.76,2256296,,998000000.0
2020-10-23,331628,335.69,335.69,328.31,329.61,318.9,2945459,,996925348.0
2020-10-26,331628,326.41,327.24,314.23,318.06,307.72,5173344,,996925348.0
2020-10-27,331628,318.9,319.56,312.36,317.11,306.8,4314917,,996925348.0
2020-10-28,331628,301.69,302.0,288.6,291.38,281.91,11518248,,996925348.0
