Date,SimFinId,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding
2020-09-09,59265,207.6,214.84,206.7,211.29,201.29,45678986,,7567652935.0
2020-09-10,59265,213.4,214.74,204.11,205.37,195.65,35461514,,7567652935.0
2020-09-11,59265,207.2,208.63,201.24,204.03,194.38,33620073,,7567652935.0
2020-09-14,59265,204.24,209.2,204.03,205.41,195.69,30375768,,7567652935.0
2020-09-15,59265,208.42,209.78,206.93,208.78,198.9,21823942,,7567652935.0
2020-09-16,59265,210.62,210.65,204.64,205.05,195.35,26372464,,7567652935.0
2020-09-17,59265,200.05,204.33,199.96,202.91,193.31,34011257,,7567652935.0
2020-09-18,59265,202.8,203.65,196.25,200.39,190.91,55225326,,7567652935.0
2020-09-21,59265,197.19,202.71,196.38,202.54,192.96,39839657,,7567652935.0
2020-09-22,59265,205.06,208.1,202.07,207.42,197.61,33517065,,7567652935.0
2020-09-23,59265,207.9,208.1,200.03,200.59,191.1,30803780,,7567652935.0
2020-09-24,59265,199.85,205.57,199.2,203.19,193.58,31202493,,7567652935.0
2020-09-25,59265,203.55,209.04,202.54,207.82,197.99,29437312,,7567652935.0
2020-09-28,59265,210.88,212.57,208.06,209.44,199.53,32004936,,7567652935.0
2020-09-29,59265,209.35,210.07,206.81,207.26,197.45,24464472,,7567652935.0
2020-09-30,59265,207.73,211.98,206.54,210.33,200.38,33829088,,7564000000.0
2020-10-01,59265,213.49,213.99,211.32,212.46,202.41,27158418,,7564000000.0
2020-10-02,59265,208.0,210.99,205.54,206.19,196.43,33154781,,7564000000.0
2020-10-05,59265,207.22,210.41,206.98,210.38,200.43,21331561,,7564000000.0
2020-10-06,59265,208.82,210.18,204.82,205.91,196.17,28554261,,7564000000.0
2020-10-07,59265,207.06,210.11,206.72,209.83,199.9,25681054,,7564000000.0
2020-10-08,59265,210.51,211.19,208.32,210.58,200.62,19925837,,7564000000.0
2020-10-09,59265,211.23,215.86,211.23,215.81,205.6,26458047,,7564000000.0
2020-10-12,59265,218.79,223.86,216.81,221.4,210.92,40461368,,7564000000.0
2020-10-13,59265,222.72,225.21,220.43,222.86,212.32,28950843,,7564000000.0
2020-10-14,59265,223.0,224.22,219.13,220.86,210.41,23451713,,7564000000.0
2020-10-15,59265,217.1,220.36,216.01,219.66,209.27,22733064,,7564000000.0
2020-10-16,59265,220.15,222.29,219.32,219.66,209.27,26057882,,7564000000.0
2020-10-19,59265,220.41,222.3,213.72,214.22,204.08,27625841,,7564000000.0
2020-10-20,59265,215.8,217.37,213.09,214.65,204.49,22753511,,7564000000.0
2020-10-21,59265,213.12,216.92,213.12,214.8,204.64,22724906,,7564000000.0
2020-10-22,59265,213.93,216.06,211.7,214.89,204.72,22351450,,7560495969.0
2020-10-23,59265,215.03,216.28,213.16,216.23,206.0,18879608,,7560495969.0
2020-10-26,59265,213.85,216.34,208.1,210.08,200.14,37111561,,7560495969.0
2020-10-27,59265,211.59,214.67,210.33,213.25,203.16,36700325,,7560495969.0
2020-10-28,59265,207.67,208.84,202.1,202.68,193.09,51195593,,7560495969.0
2020-10-29,59265,204.07,207.36,203.37,204.72,195.03,31432563,,7560495969.0
2020-10-30,59265,203.5,204.29,199.62,202.47,192.89,36980111,,7560495969.0
2020-11-02,59265,204.29,205.28,200.12,202.33,192.76,30842163,,7560495969.0
2020-11-03,59265,203.89,208.12,203.12,206.43,196.66,27512030,,7560495969.0
2020-11-04,59265,214.02,218.32,212.42,216.39,206.15,42311777,,7560495969.0
2020-11-05,59265,222.04,224.12,221.15,223.29,212.73,36080137,,7560495969.0
2020-11-06,59265,222.26,224.36,218.03,223.72,213.13,25231895,,7560495969.0
2020-11-09,59265,224.44,228.12,217.88,218.39,208.06,44394950,,7560495969.0
2020-11-10,59265,214.5,216.5,209.72,211.01,201.03,44045120,,7560495969.0
2020-11-11,59265,212.39,218.04,212.2,216.55,206.3,29440788,,7560495969.0
2020-11-12,59265,217.21,219.11,214.46,215.44,205.25,21616115,,7560495969.0
2020-11-13,59265,216.36,217.42,214.16,216.51,206.27,18630307,,7560495969.0
2020-11-16,59265,214.87,217.74,214.52,217.23,206.95,24953344,,7560495969.0
2020-11-17,59265,216.1,217.68,214.08,214.46,204.31,24154112,,7560495969.0
2020-11-18,59265,213.65,215.17,210.93,211.08,201.63,28372789,0.56,7560495969.0
2020-11-19,59265,211.38,213.03,209.93,212.42,202.91,24792746,,7560495969.0
2020-11-20,59265,212.2,213.28,210.0,210.39,200.97,22843119,,7560495969.0
2020-11-23,59265,210.95,212.29,208.16,210.11,200.7,25683507,,7560495969.0
2020-11-24,59265,209.59,214.25,208.86,213.86,204.28,33830438,,7560495969.0
2020-11-25,59265,215.11,215.29,212.46,213.87,204.29,21012887,,7560495969.0
2020-11-27,59265,214.85,216.27,214.04,215.23,205.59,14512213,,7560495969.0
2020-11-30,59265,214.1,214.76,210.84,214.07,204.48,33064753,,7560495969.0
2020-12-01,59265,214.51,217.32,213.35,216.21,206.53,30498026,,7560495969.0
2020-12-02,59265,214.88,215.47,212.8,215.37,205.72,23724509,,7560495969.0
2020-12-03,59265,214.61,216.38,213.65,214.24,204.64,25120922,,7560495969.0
2020-12-04,59265,214.22,215.38,213.18,214.36,204.76,24666039,,7560495969.0
2020-12-07,59265,214.37,215.54,212.99,214.29,204.69,24619997,,7560495969.0
2020-12-08,59265,213.97,216.95,212.89,216.01,206.34,23284094,,7560495969.0
